time,source,device_name,fragment_series,value,unit,ObjectId
2019-07-28T14:51:44.693Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,80
2019-08-18T23:45:59.999Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,81
2019-08-23T14:30:53.707Z,13955,MQTT Device 548018FDC337DE6F,NO2.v,0,ppm,82
2019-07-09T17:58:33.187Z,793,MQTT Device 2E3818FDC337DE0D,NO2.v,0,ppm,83
2019-07-13T12:36:57.908Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,84
2019-08-01T03:35:13.075Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,85
2019-07-19T13:57:55.378Z,896,MQTT Device 132218FDC337DEBC,NO2.v,0.019,ppm,86
2019-09-04T17:46:52.847Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.005,ppm,87
2019-08-04T20:37:48.598Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.001,ppm,88
2019-08-24T00:05:55.414Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,89
2019-07-13T02:27:30.403Z,1244,MQTT Device 577218FDC337DE64,NO2.v,0.003,ppm,90
2019-08-20T22:38:26.518Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.011,ppm,91
2019-08-23T02:36:58.382Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,92
2019-08-26T13:49:18.558Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,93
2019-07-23T23:59:29.806Z,896,MQTT Device 132218FDC337DEBC,NO2.v,0.062,ppm,94
2019-07-24T09:29:11.347Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,95
2019-08-03T18:30:54.713Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,96
2019-08-29T18:09:41.227Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,97
2019-07-24T14:33:13.337Z,1244,MQTT Device 577218FDC337DE64,NO2.v,0.003,ppm,98
2019-09-01T10:16:32.255Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,99
2019-08-20T18:42:04.324Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.013,ppm,100
2019-07-29T20:00:42.633Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,101
2019-07-11T20:31:22.977Z,1244,MQTT Device 577218FDC337DE64,NO2.v,0.005,ppm,102
2019-07-22T19:17:07.580Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,103
2019-08-17T20:40:07.216Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,104
2019-08-04T04:37:32.109Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.018,ppm,105
2019-07-15T23:49:35.178Z,1244,MQTT Device 577218FDC337DE64,NO2.v,0.014,ppm,106
2019-08-30T09:12:06.941Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,107
2019-08-30T04:34:11.182Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,108
2019-07-07T19:01:27.348Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,109
2019-07-25T08:47:43.888Z,896,MQTT Device 132218FDC337DEBC,NO2.v,0.013,ppm,110
2019-07-15T21:59:50.998Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,111
2019-08-16T06:34:51.208Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,112
2019-07-30T08:48:44.146Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,113
2019-08-06T11:06:16.651Z,896,MQTT Device 132218FDC337DEBC,NO2.v,0.033,ppm,114
2019-07-28T05:51:21.773Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.013,ppm,115
2019-08-28T05:30:12.408Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.025,ppm,116
2019-08-29T17:01:30.625Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,117
2019-08-31T02:38:08.206Z,1244,MQTT Device 577218FDC337DE64,NO2.v,0.007,ppm,118
2019-08-27T16:49:13.675Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,119
2019-08-18T02:50:44.309Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.023,ppm,120
2019-08-30T01:45:38.609Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,121
2019-09-01T00:11:38.474Z,13955,MQTT Device 548018FDC337DE6F,NO2.v,0.042,ppm,122
2019-08-15T23:04:51.875Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,123
2019-07-14T14:15:16.285Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.008,ppm,124
2019-08-11T09:42:20.524Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,125
2019-08-23T03:46:59.811Z,13955,MQTT Device 548018FDC337DE6F,NO2.v,0.06,ppm,126
2019-08-19T11:33:18.921Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,127
2019-08-09T03:27:05.829Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,128
2019-08-14T02:03:22.413Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,129
2019-08-09T00:08:55.810Z,896,MQTT Device 132218FDC337DEBC,NO2.v,0.057,ppm,130
2019-08-13T13:36:21.135Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,131
2019-08-03T12:56:04.576Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.05,ppm,132
